product_name,variant_name,size,unit,sku,brand,category,selling_price
Balozi,Balozi,,unit,BR-balozi-balozi,Balozi,Beer,230
Balozi,Balozi Can,,can,BR-balozi-balozi-can,Balozi,Beer,300
Black Ice,Black Ice,,unit,BR-black-ice-black-ice,Black Ice,Beer,250
Black Ice,Black Ice Can,,can,BR-black-ice-black-ice-can,Black Ice,Beer,250
Fax,Fax Can,,can,BR-fax-fax-can,Fax,Beer,300
Goddons,Goddons Can,,can,BR-goddons-goddons-can,Goddons,Beer,300
Goddons,Goddons Can Pink,,can,BR-goddons-goddons-can-pink,Goddons,Beer,300
Guinness,Guinness,,unit,BR-guinness-guinness,Guinness,Beer,270
Guinness,Guinness Can,,can,BR-guinness-guinness-can,Guinness,Beer,300
Guinness Smooth,Guinness Smooth,,unit,BR-guinness-smooth-guinness-smooth,Guinness Smooth,Beer,300
Guinness Smooth,Smooth Can,,can,BR-guinness-smooth-smooth-can,Guinness Smooth,Beer,250
Heineken,Heineken Can,,can,BR-heineken-heineken-can,Heineken,Beer,400
Henken,Henken,,unit,BR-henken-henken,Henken,Beer,250
Ice Berry,Ice Berry,,unit,BR-ice-berry-ice-berry,Ice Berry,Beer,250
Ice Berry,Ice Berry Can,,can,BR-ice-berry-ice-berry-can,Ice Berry,Beer,250
Manyatta,Manyatta Bottle,,bottle,BR-manyatta-manyatta-bottle,Manyatta,Beer,300
Manyatta,Manyatta Can,,can,BR-manyatta-manyatta-can,Manyatta,Beer,350
Pilsner,Pilsner,,unit,BR-pilsner-pilsner,Pilsner,Beer,230
Pilsner,Pilsner Can,,can,BR-pilsner-pilsner-can,Pilsner,Beer,300
Punch,Punch,,unit,BR-punch-punch,Punch,Beer,250
Punch,Punch Can,,can,BR-punch-punch-can,Punch,Beer,250
Snapp,Snapp,,unit,BR-snapp-snapp,Snapp,Beer,250
Snapp,Snapp Can,,can,BR-snapp-snapp-can,Snapp,Beer,250
Summit,Summit,,unit,BR-summit-summit,Summit,Beer,230
Tusker,Tusker Can,,can,BR-tusker-tusker-can,Tusker,Beer,300
Tusker,Tuskers,,unit,BR-tusker-tuskers,Tusker,Beer,230
Tusker Cinder,Tusker Cinder,,unit,BR-tusker-cinder-tusker-cinder,Tusker Cinder,Beer,250
Tusker Cinder,Tusker Cinder Can,,can,BR-tusker-cinder-tusker-cinder-can,Tusker Cinder,Beer,300
